,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
82630,57310,2019-10-22,14,Cinto Listrado,4,214,856
82631,57310,2019-10-22,14,Sapato Estampa,1,358,358
82669,57345,2019-10-22,14,Gorro Estampa,2,93,186
82700,57370,2019-10-22,14,Tênis Listrado,2,262,524
82701,57370,2019-10-22,14,Gorro,1,80,80
82702,57370,2019-10-22,14,Polo Listrado,3,149,447
82703,57370,2019-10-22,14,Camisa Xadrez,1,105,105
82745,57393,2019-10-22,14,Camisa Estampa,5,113,565
82746,57393,2019-10-22,14,Terno Estampa,1,706,706
82832,57449,2019-10-22,14,Polo Xadrez,2,142,284
82833,57449,2019-10-22,14,Relógio Estampa,3,219,657
82834,57449,2019-10-22,14,Short Liso,1,108,108
82871,57478,2019-10-22,14,Camisa Gola V,2,100,200
82872,57478,2019-10-22,14,Meia Listrado,1,37,37
82873,57478,2019-10-22,14,Terno Xadrez,5,709,3545
