,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
73658,51061,2019-09-20,12,Casaco Estampa,2,256,512
73747,51118,2019-09-20,12,Mochila Linho,1,311,311
73779,51137,2019-09-20,12,Camisa Gola V Estampa,2,118,236
73780,51137,2019-09-20,12,Bermuda,4,150,600
73781,51137,2019-09-20,12,Tênis Linho,3,294,882
73808,51155,2019-09-20,12,Gorro Xadrez,2,85,170
73809,51155,2019-09-20,12,Gorro Estampa,1,93,93
73810,51155,2019-09-20,12,Tênis Xadrez,3,259,777
73839,51168,2019-09-20,12,Cueca Listrado,4,67,268
73840,51168,2019-09-20,12,Terno Estampa,2,706,1412
73841,51168,2019-09-20,12,Chinelo Linho,4,105,420
73842,51171,2019-09-20,12,Sapato Listrado,1,363,363
73848,51175,2019-09-20,12,Short Listrado,3,102,306
73850,51178,2019-09-20,12,Meia Liso,1,38,38
73851,51178,2019-09-20,12,Casaco Xadrez,1,259,259
