,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
3768,2561,2019-01-15,12,Chinelo Estampa,3,74,222
3769,2561,2019-01-15,12,Relógio Xadrez,1,214,214
3770,2561,2019-01-15,12,Camisa Gola V Liso,3,118,354
3771,2561,2019-01-15,12,Casaco,1,250,250
3783,2570,2019-01-15,12,Camisa Liso,1,105,105
3784,2571,2019-01-15,12,Pulseira,3,70,210
3795,2581,2019-01-15,12,Meia Listrado,1,37,37
3823,2603,2019-01-15,12,Meia Liso,1,38,38
3887,2644,2019-01-15,12,Pulseira Linho,2,114,228
3888,2644,2019-01-15,12,Camisa Linho,1,141,141
3904,2659,2019-01-15,12,Bermuda Xadrez,1,155,155
3905,2660,2019-01-15,12,Pulseira Xadrez,4,87,348
3906,2660,2019-01-15,12,Sapato Linho,2,391,782
3907,2660,2019-01-15,12,Relógio Liso,1,216,216
3926,2681,2019-01-15,12,Cueca Xadrez,2,60,120
3927,2681,2019-01-15,12,Bermuda Estampa,3,169,507
3928,2681,2019-01-15,12,Cueca Estampa,2,66,132
