,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
73046,50658,2019-09-18,20,Terno Linho,5,750,3750
73047,50658,2019-09-18,20,Bermuda,2,150,300
73048,50658,2019-09-18,20,Cinto Listrado,5,214,1070
73072,50673,2019-09-18,20,Gorro Listrado,1,97,97
73106,50698,2019-09-18,20,Gorro Xadrez,4,85,340
73107,50698,2019-09-18,20,Mochila Estampa,2,277,554
73130,50715,2019-09-18,20,Tênis Estampa,2,256,512
73131,50715,2019-09-18,20,Relógio Estampa,1,219,219
73132,50715,2019-09-18,20,Short,5,90,450
73133,50715,2019-09-18,20,Pulseira Liso,1,87,87
73183,50750,2019-09-18,20,Meia Linho,1,78,78
73184,50750,2019-09-18,20,Casaco Liso,1,255,255
73185,50750,2019-09-18,20,Casaco Xadrez,5,259,1295
73186,50750,2019-09-18,20,Camisa Gola V,2,100,200
73190,50753,2019-09-18,20,Tênis Estampa,1,256,256
73219,50767,2019-09-18,20,Cinto Estampa,1,209,209
73220,50767,2019-09-18,20,Mochila Xadrez,2,283,566
73226,50771,2019-09-18,20,Meia Estampa,1,50,50
73308,50826,2019-09-18,20,Short Liso,1,108,108
73309,50826,2019-09-18,20,Cueca Xadrez,2,60,120
73310,50826,2019-09-18,20,Tênis Liso,2,266,532
73311,50826,2019-09-18,20,Mochila Liso,2,276,552
73312,50826,2019-09-18,20,Terno,1,700,700
