,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
74237,51468,2019-09-22,20,Relógio Linho,4,240,960
74238,51468,2019-09-22,20,Chinelo Liso,2,71,142
74239,51468,2019-09-22,20,Gorro Listrado,2,97,194
74241,51470,2019-09-22,20,Tênis Linho,1,294,294
74242,51470,2019-09-22,20,Meia Linho,2,78,156
74243,51470,2019-09-22,20,Camisa Gola V Linho,2,145,290
74244,51470,2019-09-22,20,Meia Xadrez,5,41,205
74331,51533,2019-09-22,20,Mochila,2,270,540
74332,51533,2019-09-22,20,Camisa Gola V Linho,2,145,290
74335,51538,2019-09-22,20,Sunga Liso,2,114,228
74336,51538,2019-09-22,20,Terno Linho,5,750,3750
74387,51569,2019-09-22,20,Gorro Liso,3,92,276
74388,51569,2019-09-22,20,Camiseta Liso,3,187,561
