,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
19029,13104,2019-03-10,22,Casaco,4,250,1000
19030,13104,2019-03-10,22,Mochila,1,270,270
19031,13104,2019-03-10,22,Sunga Liso,4,114,456
19056,13126,2019-03-10,22,Bermuda Liso,2,157,314
19057,13126,2019-03-10,22,Cueca,4,50,200
19068,13135,2019-03-10,22,Bermuda Liso,1,157,157
19069,13135,2019-03-10,22,Bermuda,2,150,300
19099,13155,2019-03-10,22,Camisa Xadrez,2,105,210
19100,13155,2019-03-10,22,Casaco Linho,2,299,598
19124,13173,2019-03-10,22,Terno Listrado,1,709,709
19125,13173,2019-03-10,22,Chinelo,2,60,120
19126,13173,2019-03-10,22,Meia Linho,3,78,234
19133,13178,2019-03-10,22,Chinelo,1,60,60
19134,13178,2019-03-10,22,Short,1,90,90
