,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
71664,49675,2019-09-13,22,Relógio,2,200,400
71670,49682,2019-09-13,22,Pulseira Xadrez,5,87,435
71774,49762,2019-09-13,22,Sapato Xadrez,1,368,368
71775,49762,2019-09-13,22,Polo,3,130,390
71782,49766,2019-09-13,22,Terno Linho,2,750,1500
71783,49766,2019-09-13,22,Camisa Gola V,1,100,100
71802,49780,2019-09-13,22,Sunga Xadrez,2,116,232
71803,49780,2019-09-13,22,Calça,1,170,170
71847,49819,2019-09-13,22,Sunga,3,100,300
71848,49819,2019-09-13,22,Terno Estampa,2,706,1412
71851,49824,2019-09-13,22,Relógio Estampa,3,219,657
71852,49824,2019-09-13,22,Meia Estampa,1,50,50
