,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
78418,54414,2019-10-07,2,Camisa Gola V Xadrez,2,107,214
78426,54422,2019-10-07,2,Calça Estampa,2,177,354
78427,54422,2019-10-07,2,Cueca Linho,2,93,186
78473,54458,2019-10-07,2,Sapato Listrado,1,363,363
78474,54458,2019-10-07,2,Gorro Linho,5,124,620
78475,54458,2019-10-07,2,Bermuda Xadrez,3,155,465
78476,54458,2019-10-07,2,Camiseta Xadrez,3,200,600
78523,54492,2019-10-07,2,Camisa Gola V Liso,4,118,472
78524,54492,2019-10-07,2,Camisa Gola V Linho,2,145,290
78529,54496,2019-10-07,2,Mochila Xadrez,1,283,283
78530,54496,2019-10-07,2,Camiseta,1,180,180
78589,54534,2019-10-07,2,Sapato Estampa,3,358,1074
78590,54534,2019-10-07,2,Relógio Linho,5,240,1200
78601,54544,2019-10-07,2,Cueca Estampa,1,66,66
78610,54550,2019-10-07,2,Sapato Xadrez,1,368,368
78611,54550,2019-10-07,2,Short Estampa,1,96,96
