,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
65448,45268,2019-08-22,2,Calça Estampa,3,177,531
65449,45268,2019-08-22,2,Bermuda Liso,1,157,157
65450,45268,2019-08-22,2,Terno Estampa,2,706,1412
65476,45286,2019-08-22,2,Bermuda Linho,3,195,585
65501,45305,2019-08-22,2,Camisa Gola V Listrado,3,116,348
65502,45305,2019-08-22,2,Sunga Listrado,2,114,228
65503,45305,2019-08-22,2,Pulseira Xadrez,5,87,435
65543,45334,2019-08-22,2,Polo,4,130,520
65544,45334,2019-08-22,2,Mochila Estampa,5,277,1385
65578,45360,2019-08-22,2,Camisa Linho,1,141,141
65579,45360,2019-08-22,2,Short,2,90,180
65636,45402,2019-08-22,2,Meia Linho,2,78,156
65644,45410,2019-08-22,2,Calça Listrado,2,181,362
65660,45425,2019-08-22,2,Mochila Liso,1,276,276
65661,45425,2019-08-22,2,Terno Linho,2,750,1500
65677,45440,2019-08-22,2,Sapato Listrado,1,363,363
65678,45440,2019-08-22,2,Camisa Gola V Estampa,4,118,472
65697,45450,2019-08-22,2,Camisa Gola V Linho,3,145,435
65698,45450,2019-08-22,2,Polo Linho,2,176,352
