,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
79819,55396,2019-10-12,19,Mochila,3,270,810
79843,55409,2019-10-12,19,Meia Linho,5,78,390
79844,55409,2019-10-12,19,Casaco Liso,2,255,510
79845,55409,2019-10-12,19,Short,4,90,360
79846,55409,2019-10-12,19,Gorro Xadrez,4,85,340
79886,55442,2019-10-12,19,Bermuda Listrado,1,163,163
79887,55444,2019-10-12,19,Chinelo,1,60,60
79922,55465,2019-10-12,19,Sapato Linho,1,391,391
79923,55465,2019-10-12,19,Sunga Liso,4,114,456
79966,55495,2019-10-12,19,Calça Linho,2,211,422
79984,55508,2019-10-12,19,Bermuda Estampa,2,169,338
79985,55508,2019-10-12,19,Meia Estampa,2,50,100
80066,55558,2019-10-12,19,Camisa,1,100,100
80067,55558,2019-10-12,19,Meia Estampa,2,50,100
