,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
91386,63266,2019-11-22,19,Short Liso,1,108,108
91387,63266,2019-11-22,19,Bermuda Xadrez,2,155,310
91435,63307,2019-11-22,19,Terno,4,700,2800
91439,63309,2019-11-22,19,Meia Liso,3,38,114
91440,63309,2019-11-22,19,Casaco Xadrez,1,259,259
91441,63309,2019-11-22,19,Bermuda Estampa,3,169,507
91463,63325,2019-11-22,19,Pulseira Listrado,5,79,395
91464,63325,2019-11-22,19,Chinelo,5,60,300
91475,63335,2019-11-22,19,Relógio Listrado,2,218,436
91476,63335,2019-11-22,19,Pulseira,1,70,70
91493,63346,2019-11-22,19,Polo Listrado,2,149,298
91494,63346,2019-11-22,19,Mochila,2,270,540
91495,63346,2019-11-22,19,Cueca Linho,1,93,93
91551,63387,2019-11-22,19,Relógio Liso,1,216,216
91552,63387,2019-11-22,19,Cinto Liso,3,209,627
91553,63387,2019-11-22,19,Sunga Estampa,1,120,120
91554,63387,2019-11-22,19,Bermuda Estampa,1,169,169
