,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
24820,17155,2019-03-31,19,Sapato Estampa,2,358,716
24838,17166,2019-03-31,19,Mochila Liso,5,276,1380
24855,17178,2019-03-31,19,Mochila Listrado,2,275,550
24865,17192,2019-03-31,19,Mochila Liso,4,276,1104
24866,17192,2019-03-31,19,Calça Xadrez,2,185,370
24891,17214,2019-03-31,19,Gorro Xadrez,1,85,85
24892,17214,2019-03-31,19,Cueca Listrado,4,67,268
24934,17243,2019-03-31,19,Bermuda Estampa,1,169,169
25032,17313,2019-03-31,19,Sapato Linho,2,391,782
25033,17313,2019-03-31,19,Mochila,1,270,270
25034,17313,2019-03-31,19,Chinelo,2,60,120
25035,17313,2019-03-31,19,Polo Listrado,2,149,298
25036,17313,2019-03-31,19,Cinto Liso,1,209,209
25037,17314,2019-03-31,19,Sunga Linho,1,149,149
25038,17314,2019-03-31,19,Sunga Xadrez,1,116,116
25039,17314,2019-03-31,19,Relógio Xadrez,3,214,642
25050,17323,2019-03-31,19,Gorro Listrado,5,97,485
