,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
53060,36669,2019-07-09,16,Tênis Listrado,2,262,524
53112,36705,2019-07-09,16,Tênis Listrado,2,262,524
53126,36717,2019-07-09,16,Mochila Linho,3,311,933
53127,36717,2019-07-09,16,Calça Listrado,1,181,181
53140,36725,2019-07-09,16,Relógio Estampa,2,219,438
53141,36725,2019-07-09,16,Mochila Linho,3,311,933
53175,36752,2019-07-09,16,Casaco Linho,2,299,598
53179,36756,2019-07-09,16,Polo Liso,3,137,411
53180,36756,2019-07-09,16,Relógio Listrado,1,218,218
53203,36769,2019-07-09,16,Chinelo,2,60,120
53204,36769,2019-07-09,16,Chinelo Listrado,3,73,219
53243,36798,2019-07-09,16,Camiseta,1,180,180
53244,36798,2019-07-09,16,Casaco Xadrez,1,259,259
53245,36798,2019-07-09,16,Short Listrado,1,102,102
53255,36806,2019-07-09,16,Mochila Xadrez,1,283,283
53256,36806,2019-07-09,16,Casaco Liso,4,255,1020
