,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
58380,40343,2019-07-28,16,Mochila Liso,4,276,1104
58381,40343,2019-07-28,16,Pulseira Linho,2,114,228
58413,40369,2019-07-28,16,Relógio Xadrez,1,214,214
58414,40369,2019-07-28,16,Sunga Liso,3,114,342
58444,40390,2019-07-28,16,Polo Liso,2,137,274
58445,40390,2019-07-28,16,Polo,1,130,130
58446,40390,2019-07-28,16,Gorro Listrado,1,97,97
58458,40395,2019-07-28,16,Terno Listrado,1,709,709
58499,40425,2019-07-28,16,Pulseira Linho,1,114,114
58518,40432,2019-07-28,16,Gorro Liso,3,92,276
58519,40432,2019-07-28,16,Tênis Xadrez,1,259,259
58520,40432,2019-07-28,16,Calça,3,170,510
58549,40451,2019-07-28,16,Polo Liso,2,137,274
58550,40451,2019-07-28,16,Pulseira,2,70,140
58551,40451,2019-07-28,16,Chinelo Xadrez,1,66,66
