,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
84321,58460,2019-10-28,11,Gorro Linho,5,124,620
84322,58460,2019-10-28,11,Cueca Liso,1,69,69
84378,58493,2019-10-28,11,Bermuda Listrado,3,163,489
84379,58493,2019-10-28,11,Mochila,2,270,540
84489,58570,2019-10-28,11,Camisa Gola V,1,100,100
84490,58570,2019-10-28,11,Meia Xadrez,4,41,164
84491,58570,2019-10-28,11,Relógio Liso,2,216,432
84496,58574,2019-10-28,11,Pulseira,1,70,70
84497,58574,2019-10-28,11,Chinelo,1,60,60
84565,58623,2019-10-28,11,Sunga Listrado,1,114,114
