,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
65437,45259,2019-08-22,1,Relógio Listrado,3,218,654
65438,45259,2019-08-22,1,Gorro Estampa,4,93,372
65439,45259,2019-08-22,1,Pulseira Estampa,2,87,174
65463,45276,2019-08-22,1,Camisa Gola V Estampa,3,118,354
65464,45276,2019-08-22,1,Pulseira,2,70,140
65465,45276,2019-08-22,1,Short Linho,1,133,133
65550,45340,2019-08-22,1,Short Estampa,1,96,96
65551,45340,2019-08-22,1,Cueca Linho,2,93,186
65552,45342,2019-08-22,1,Meia Listrado,1,37,37
65553,45342,2019-08-22,1,Bermuda Xadrez,1,155,155
65676,45438,2019-08-22,1,Polo Xadrez,1,142,142
65679,45441,2019-08-22,1,Sunga Estampa,1,120,120
65680,45441,2019-08-22,1,Calça Listrado,1,181,181
65681,45441,2019-08-22,1,Bermuda Liso,2,157,314
65682,45441,2019-08-22,1,Short Liso,2,108,216
65683,45441,2019-08-22,1,Mochila Linho,1,311,311
65684,45441,2019-08-22,1,Polo,1,130,130
65692,45447,2019-08-22,1,Mochila Estampa,1,277,277
