,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
23692,16350,2019-03-27,1,Pulseira Estampa,4,87,348
23698,16354,2019-03-27,1,Terno Xadrez,3,709,2127
23771,16412,2019-03-27,1,Short Listrado,3,102,306
23772,16412,2019-03-27,1,Pulseira Linho,1,114,114
23785,16424,2019-03-27,1,Cueca Estampa,1,66,66
23786,16424,2019-03-27,1,Meia,1,30,30
23787,16424,2019-03-27,1,Camisa Gola V Liso,1,118,118
23788,16424,2019-03-27,1,Casaco Linho,3,299,897
23822,16447,2019-03-27,1,Casaco Liso,3,255,765
23823,16447,2019-03-27,1,Sunga Xadrez,1,116,116
23824,16447,2019-03-27,1,Terno,3,700,2100
23825,16447,2019-03-27,1,Camisa Xadrez,5,105,525
23910,16511,2019-03-27,1,Mochila Estampa,3,277,831
23911,16511,2019-03-27,1,Camiseta Linho,1,223,223
23969,16547,2019-03-27,1,Cueca Listrado,1,67,67
