,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
69940,48455,2019-09-07,1,Mochila Linho,1,311,311
69966,48474,2019-09-07,1,Bermuda Listrado,1,163,163
69967,48474,2019-09-07,1,Meia Linho,1,78,78
69968,48474,2019-09-07,1,Calça Liso,3,190,570
69969,48474,2019-09-07,1,Meia Liso,1,38,38
69970,48474,2019-09-07,1,Polo Linho,2,176,352
69971,48474,2019-09-07,1,Short Listrado,3,102,306
69981,48480,2019-09-07,1,Camiseta Xadrez,2,200,400
70020,48503,2019-09-07,1,Polo Estampa,2,138,276
70021,48503,2019-09-07,1,Cueca Listrado,5,67,335
70107,48561,2019-09-07,1,Camisa Listrado,3,108,324
70127,48582,2019-09-07,1,Sunga Estampa,2,120,240
