,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
53034,36649,2019-07-09,8,Bermuda,5,150,750
53035,36649,2019-07-09,8,Pulseira Liso,1,87,87
53121,36712,2019-07-09,8,Relógio Listrado,5,218,1090
53122,36712,2019-07-09,8,Polo,2,130,260
53166,36746,2019-07-09,8,Tênis Estampa,4,256,1024
53167,36746,2019-07-09,8,Sunga Linho,3,149,447
53170,36749,2019-07-09,8,Relógio Estampa,2,219,438
53184,36760,2019-07-09,8,Mochila,1,270,270
53185,36760,2019-07-09,8,Camiseta Liso,1,187,187
53186,36760,2019-07-09,8,Calça Linho,1,211,211
53187,36760,2019-07-09,8,Terno Xadrez,1,709,709
53216,36778,2019-07-09,8,Gorro Xadrez,5,85,425
53217,36778,2019-07-09,8,Sapato,2,350,700
53218,36779,2019-07-09,8,Cinto Linho,3,248,744
53221,36781,2019-07-09,8,Meia Liso,2,38,76
53222,36781,2019-07-09,8,Camisa,2,100,200
53223,36781,2019-07-09,8,Camiseta,1,180,180
53281,36819,2019-07-09,8,Pulseira Estampa,2,87,174
53283,36822,2019-07-09,8,Bermuda Linho,2,195,390
53284,36822,2019-07-09,8,Sunga Liso,1,114,114
53290,36826,2019-07-09,8,Cinto Liso,1,209,209
