,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
10750,7423,2019-02-09,8,Tênis,3,250,750
10809,7469,2019-02-09,8,Gorro Linho,4,124,496
10821,7477,2019-02-09,8,Short,3,90,270
10822,7477,2019-02-09,8,Cueca Xadrez,5,60,300
10848,7499,2019-02-09,8,Sapato,3,350,1050
10849,7499,2019-02-09,8,Camisa Gola V Xadrez,1,107,107
10882,7524,2019-02-09,8,Casaco Listrado,2,269,538
10883,7524,2019-02-09,8,Sunga Liso,2,114,228
10884,7524,2019-02-09,8,Sapato Listrado,1,363,363
10885,7524,2019-02-09,8,Polo Linho,1,176,176
10890,7529,2019-02-09,8,Pulseira,1,70,70
10899,7537,2019-02-09,8,Pulseira Linho,3,114,342
10952,7572,2019-02-09,8,Tênis Liso,2,266,532
10953,7572,2019-02-09,8,Relógio Listrado,1,218,218
10954,7572,2019-02-09,8,Meia Estampa,1,50,50
