,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
23131,15955,2019-03-25,25,Camiseta Listrado,4,197,788
23132,15955,2019-03-25,25,Cueca Liso,1,69,69
23246,16048,2019-03-25,25,Calça Linho,1,211,211
23247,16048,2019-03-25,25,Sapato Estampa,1,358,358
23248,16048,2019-03-25,25,Polo Liso,5,137,685
23314,16094,2019-03-25,25,Pulseira Linho,2,114,228
23315,16094,2019-03-25,25,Tênis Liso,2,266,532
23342,16112,2019-03-25,25,Chinelo Xadrez,1,66,66
23369,16128,2019-03-25,25,Terno Liso,5,720,3600
23370,16128,2019-03-25,25,Terno Estampa,2,706,1412
