,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
62619,43302,2019-08-12,9,Short Liso,4,108,432
62623,43306,2019-08-12,9,Chinelo Listrado,3,73,219
62624,43306,2019-08-12,9,Cueca Estampa,2,66,132
62661,43337,2019-08-12,9,Short Linho,1,133,133
62662,43337,2019-08-12,9,Cueca Liso,3,69,207
62663,43337,2019-08-12,9,Casaco Xadrez,3,259,777
62741,43390,2019-08-12,9,Tênis,2,250,500
62742,43390,2019-08-12,9,Pulseira Liso,4,87,348
62750,43398,2019-08-12,9,Mochila,4,270,1080
62758,43406,2019-08-12,9,Mochila Liso,5,276,1380
62759,43406,2019-08-12,9,Camisa Linho,2,141,282
62772,43416,2019-08-12,9,Sapato Estampa,3,358,1074
62798,43433,2019-08-12,9,Camisa Xadrez,1,105,105
