,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
29674,20447,2019-04-17,9,Tênis,1,250,250
29794,20525,2019-04-17,9,Relógio Estampa,3,219,657
29795,20525,2019-04-17,9,Sunga Xadrez,1,116,116
29796,20525,2019-04-17,9,Short,4,90,360
29797,20525,2019-04-17,9,Camisa Listrado,3,108,324
29798,20525,2019-04-17,9,Gorro Estampa,5,93,465
29804,20529,2019-04-17,9,Chinelo,1,60,60
29805,20529,2019-04-17,9,Camisa Linho,1,141,141
29806,20529,2019-04-17,9,Casaco,4,250,1000
29807,20529,2019-04-17,9,Sapato Listrado,1,363,363
29820,20541,2019-04-17,9,Sapato Xadrez,3,368,1104
29889,20587,2019-04-17,9,Calça Linho,3,211,633
29891,20591,2019-04-17,9,Sunga Xadrez,3,116,348
29892,20591,2019-04-17,9,Meia,1,30,30
29893,20591,2019-04-17,9,Meia Liso,2,38,76
29894,20592,2019-04-17,9,Polo Listrado,1,149,149
