,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
311,221,2019-01-03,17,Camisa Gola V Linho,1,145,145
312,221,2019-01-03,17,Short Listrado,1,102,102
313,221,2019-01-03,17,Chinelo Linho,2,105,210
337,240,2019-01-03,17,Gorro Listrado,3,97,291
383,270,2019-01-03,17,Terno Linho,3,750,2250
384,270,2019-01-03,17,Meia Listrado,5,37,185
393,276,2019-01-03,17,Cueca,1,50,50
394,276,2019-01-03,17,Gorro Listrado,3,97,291
501,353,2019-01-03,17,Pulseira Linho,2,114,228
502,353,2019-01-03,17,Sunga Listrado,2,114,228
545,379,2019-01-03,17,Camisa Listrado,3,108,324
546,379,2019-01-03,17,Camiseta,4,180,720
