,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
33892,23365,2019-05-02,17,Short Xadrez,2,100,200
33923,23393,2019-05-02,17,Terno Xadrez,5,709,3545
33938,23408,2019-05-02,17,Bermuda Linho,1,195,195
33939,23408,2019-05-02,17,Casaco Linho,5,299,1495
33945,23413,2019-05-02,17,Relógio,1,200,200
33946,23413,2019-05-02,17,Camiseta Linho,2,223,446
33948,23415,2019-05-02,17,Cueca Liso,1,69,69
33965,23426,2019-05-02,17,Gorro,1,80,80
33982,23447,2019-05-02,17,Tênis Linho,1,294,294
34009,23462,2019-05-02,17,Camisa Estampa,3,113,339
34067,23506,2019-05-02,17,Polo Linho,1,176,176
34068,23506,2019-05-02,17,Camisa Listrado,2,108,216
34112,23531,2019-05-02,17,Camisa Liso,1,105,105
34113,23531,2019-05-02,17,Sunga Listrado,1,114,114
