,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
19551,13481,2019-03-12,18,Short Linho,4,133,532
19568,13497,2019-03-12,18,Short Xadrez,1,100,100
19569,13497,2019-03-12,18,Calça Estampa,3,177,531
19601,13515,2019-03-12,18,Calça,1,170,170
19602,13515,2019-03-12,18,Tênis,1,250,250
19603,13515,2019-03-12,18,Calça,2,170,340
19607,13519,2019-03-12,18,Gorro Estampa,3,93,279
19623,13533,2019-03-12,18,Sunga Xadrez,1,116,116
19624,13533,2019-03-12,18,Pulseira Linho,3,114,342
19625,13533,2019-03-12,18,Camisa Listrado,2,108,216
19638,13542,2019-03-12,18,Chinelo Liso,2,71,142
