,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
4003,2738,2019-01-16,4,Casaco Linho,2,299,598
4004,2738,2019-01-16,4,Mochila Liso,1,276,276
4005,2738,2019-01-16,4,Tênis Listrado,3,262,786
4055,2773,2019-01-16,4,Camiseta,2,180,360
4056,2773,2019-01-16,4,Bermuda,1,150,150
4057,2773,2019-01-16,4,Camisa Listrado,1,108,108
4141,2834,2019-01-16,4,Meia,1,30,30
4142,2834,2019-01-16,4,Sunga Liso,2,114,228
4143,2834,2019-01-16,4,Pulseira Linho,2,114,228
4170,2858,2019-01-16,4,Sapato Estampa,4,358,1432
4171,2858,2019-01-16,4,Cueca Estampa,3,66,198
4178,2863,2019-01-16,4,Mochila Linho,4,311,1244
