,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
21187,14591,2019-03-18,23,Short Listrado,2,102,204
21188,14591,2019-03-18,23,Tênis Estampa,1,256,256
21249,14636,2019-03-18,23,Relógio Estampa,1,219,219
21250,14636,2019-03-18,23,Mochila Estampa,2,277,554
21316,14680,2019-03-18,23,Gorro Liso,1,92,92
21320,14685,2019-03-18,23,Relógio Estampa,5,219,1095
21321,14685,2019-03-18,23,Camisa Gola V,3,100,300
21336,14697,2019-03-18,23,Bermuda Liso,2,157,314
21337,14697,2019-03-18,23,Chinelo Xadrez,4,66,264
21338,14697,2019-03-18,23,Bermuda Xadrez,3,155,465
