,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
37248,25725,2019-05-14,23,Short,5,90,450
37253,25728,2019-05-14,23,Camisa Gola V Liso,3,118,354
37254,25728,2019-05-14,23,Cueca Xadrez,3,60,180
37255,25728,2019-05-14,23,Chinelo Linho,1,105,105
37331,25776,2019-05-14,23,Calça Linho,1,211,211
37332,25776,2019-05-14,23,Sunga Linho,3,149,447
37437,25837,2019-05-14,23,Mochila Estampa,1,277,277
37438,25837,2019-05-14,23,Chinelo Liso,2,71,142
37475,25861,2019-05-14,23,Sapato Linho,1,391,391
37476,25861,2019-05-14,23,Short Liso,2,108,216
37477,25861,2019-05-14,23,Pulseira Liso,1,87,87
