,Código Venda,Data,ID Loja,Produto,Quantidade,Valor Unitário,Valor Final
29084,20069,2019-04-15,24,Tênis Listrado,1,262,262
29085,20069,2019-04-15,24,Chinelo Linho,3,105,315
29086,20069,2019-04-15,24,Chinelo Linho,4,105,420
29171,20114,2019-04-15,24,Sapato Estampa,2,358,716
29172,20114,2019-04-15,24,Terno,2,700,1400
29214,20142,2019-04-15,24,Short Linho,1,133,133
29215,20142,2019-04-15,24,Tênis Liso,1,266,266
29216,20142,2019-04-15,24,Cueca Listrado,4,67,268
29222,20146,2019-04-15,24,Short Estampa,2,96,192
29223,20146,2019-04-15,24,Gorro Estampa,1,93,93
29267,20172,2019-04-15,24,Bermuda Xadrez,1,155,155
29298,20192,2019-04-15,24,Relógio,3,200,600
