ID Loja,Valor Final
Passei das Águas Shopping,8571
Shopping Barra,8054
Shopping Ibirapuera,7218
Iguatemi Campinas,6992
Shopping Recife,6469
Center Shopping Uberlândia,6345
Shopping União de Osasco,6136
Rio Mar Shopping Fortaleza,5376
Shopping Vila Velha,5237
Iguatemi Esplanada,5054
Shopping Eldorado,4362
Shopping Morumbi,4280
Bourbon Shopping SP,4069
Shopping Midway Mall,4022
Shopping Iguatemi Fortaleza,3805
Shopping SP Market,3629
Norte Shopping,3578
Novo Shopping Ribeirão Preto,3549
Ribeirão Shopping,3108
Salvador Shopping,2985
Rio Mar Recife,2984
Parque Dom Pedro Shopping,2658
Palladium Shopping Curitiba,2527
Shopping Center Interlagos,1538
Shopping Center Leste Aricanduva,940
