ID Loja,Valor Final
Shopping Center Interlagos,10522
Shopping Ibirapuera,9427
Rio Mar Shopping Fortaleza,8216
Iguatemi Campinas,7296
Rio Mar Recife,7183
Shopping Center Leste Aricanduva,6669
Iguatemi Esplanada,5779
Bourbon Shopping SP,5688
Salvador Shopping,5506
Palladium Shopping Curitiba,5385
Shopping Midway Mall,5079
Shopping União de Osasco,4887
Shopping Barra,4452
Shopping Morumbi,4429
Parque Dom Pedro Shopping,3770
Norte Shopping,3300
Passei das Águas Shopping,3084
Shopping Eldorado,3029
Shopping Vila Velha,2993
Shopping Iguatemi Fortaleza,2991
Novo Shopping Ribeirão Preto,1826
Center Shopping Uberlândia,1659
Shopping Recife,1346
Shopping SP Market,1331
Ribeirão Shopping,400
