ID Loja,Valor Final
Shopping Morumbi,10154
Shopping Iguatemi Fortaleza,8968
Shopping Vila Velha,8203
Iguatemi Esplanada,7603
Shopping Midway Mall,7414
Center Shopping Uberlândia,7001
Shopping Eldorado,6811
Salvador Shopping,6214
Shopping Center Interlagos,6204
Bourbon Shopping SP,6096
Parque Dom Pedro Shopping,5725
Palladium Shopping Curitiba,5601
Iguatemi Campinas,5521
Shopping Recife,3555
Rio Mar Shopping Fortaleza,3518
Novo Shopping Ribeirão Preto,3336
Shopping Center Leste Aricanduva,3107
Norte Shopping,3064
Rio Mar Recife,2855
Ribeirão Shopping,2734
Passei das Águas Shopping,2478
Shopping Barra,2082
Shopping SP Market,2009
Shopping Ibirapuera,1980
Shopping União de Osasco,981
