ID Loja,Valor Final
Shopping Center Leste Aricanduva,10423
Center Shopping Uberlândia,9734
Shopping SP Market,8244
Shopping Midway Mall,7125
Shopping Vila Velha,6585
Shopping Ibirapuera,5778
Rio Mar Recife,5244
Shopping Eldorado,4788
Norte Shopping,4609
Shopping Recife,4574
Shopping Center Interlagos,4540
Rio Mar Shopping Fortaleza,4343
Shopping União de Osasco,4338
Shopping Morumbi,4310
Ribeirão Shopping,3797
Shopping Barra,3737
Passei das Águas Shopping,3630
Palladium Shopping Curitiba,3629
Iguatemi Esplanada,3506
Iguatemi Campinas,2955
Salvador Shopping,2941
Bourbon Shopping SP,2850
Parque Dom Pedro Shopping,2529
Shopping Iguatemi Fortaleza,2124
Novo Shopping Ribeirão Preto,296
