ID Loja,Valor Final
Shopping Iguatemi Fortaleza,10655
Parque Dom Pedro Shopping,10507
Iguatemi Esplanada,8054
Shopping Center Leste Aricanduva,7743
Shopping Midway Mall,7417
Passei das Águas Shopping,6650
Bourbon Shopping SP,5070
Shopping Barra,4899
Center Shopping Uberlândia,4589
Iguatemi Campinas,4441
Shopping Vila Velha,4401
Shopping Center Interlagos,4199
Palladium Shopping Curitiba,4110
Novo Shopping Ribeirão Preto,3950
Shopping Ibirapuera,3949
Shopping Morumbi,3935
Rio Mar Shopping Fortaleza,3678
Rio Mar Recife,3521
Norte Shopping,3058
Shopping Eldorado,2956
Shopping SP Market,2806
Shopping União de Osasco,2131
Ribeirão Shopping,1677
Salvador Shopping,1430
Shopping Recife,1117
