ID Loja,Valor Final
Iguatemi Campinas,11591
Palladium Shopping Curitiba,8899
Shopping SP Market,8879
Shopping Ibirapuera,8473
Shopping Barra,6880
Center Shopping Uberlândia,6383
Ribeirão Shopping,5694
Shopping Morumbi,5645
Shopping Center Leste Aricanduva,5626
Rio Mar Recife,5306
Shopping Vila Velha,5237
Shopping Midway Mall,5159
Shopping Center Interlagos,4750
Shopping União de Osasco,4447
Novo Shopping Ribeirão Preto,4373
Shopping Recife,3983
Bourbon Shopping SP,2799
Passei das Águas Shopping,2593
Iguatemi Esplanada,2578
Shopping Iguatemi Fortaleza,2534
Rio Mar Shopping Fortaleza,1757
Salvador Shopping,1624
Shopping Eldorado,1499
Parque Dom Pedro Shopping,1289
Norte Shopping,1241
