ID Loja,Valor Final
Shopping Ibirapuera,11398
Rio Mar Shopping Fortaleza,10975
Ribeirão Shopping,8877
Shopping Iguatemi Fortaleza,8573
Passei das Águas Shopping,8174
Shopping Midway Mall,6741
Parque Dom Pedro Shopping,5820
Shopping União de Osasco,5205
Shopping Eldorado,5145
Shopping SP Market,4793
Shopping Recife,4787
Iguatemi Campinas,4033
Shopping Vila Velha,4013
Iguatemi Esplanada,3746
Shopping Barra,3570
Rio Mar Recife,3557
Novo Shopping Ribeirão Preto,2979
Shopping Morumbi,2957
Bourbon Shopping SP,2646
Shopping Center Leste Aricanduva,2225
Norte Shopping,2054
Salvador Shopping,1888
Shopping Center Interlagos,870
Palladium Shopping Curitiba,856
Center Shopping Uberlândia,754
