ID Loja,Valor Final
Norte Shopping,16168
Novo Shopping Ribeirão Preto,9511
Center Shopping Uberlândia,9062
Shopping Eldorado,7319
Rio Mar Shopping Fortaleza,6720
Shopping Recife,6667
Ribeirão Shopping,5495
Parque Dom Pedro Shopping,5473
Rio Mar Recife,4831
Iguatemi Esplanada,4684
Shopping Ibirapuera,4620
Shopping Iguatemi Fortaleza,4382
Shopping Barra,4255
Shopping Morumbi,4000
Palladium Shopping Curitiba,3557
Shopping Midway Mall,3307
Shopping Center Leste Aricanduva,3112
Passei das Águas Shopping,3079
Shopping União de Osasco,2631
Shopping Vila Velha,2589
Shopping Center Interlagos,2314
Iguatemi Campinas,2146
Bourbon Shopping SP,1868
Salvador Shopping,1337
Shopping SP Market,808
