ID Loja,Valor Final
Shopping Vila Velha,11707
Center Shopping Uberlândia,10541
Parque Dom Pedro Shopping,9793
Shopping Center Interlagos,5579
Salvador Shopping,5220
Shopping Iguatemi Fortaleza,5066
Rio Mar Shopping Fortaleza,4623
Shopping Eldorado,4514
Bourbon Shopping SP,4424
Palladium Shopping Curitiba,4246
Shopping Ibirapuera,3986
Iguatemi Campinas,3895
Shopping União de Osasco,3532
Novo Shopping Ribeirão Preto,3362
Shopping SP Market,3276
Rio Mar Recife,3004
Passei das Águas Shopping,2974
Shopping Midway Mall,2931
Iguatemi Esplanada,2922
Shopping Barra,2637
Norte Shopping,2560
Shopping Morumbi,2098
Shopping Center Leste Aricanduva,1668
Ribeirão Shopping,1178
Shopping Recife,377
