ID Loja,Valor Final
Shopping Iguatemi Fortaleza,7755
Center Shopping Uberlândia,7458
Parque Dom Pedro Shopping,7377
Shopping SP Market,7188
Shopping Morumbi,6897
Shopping Eldorado,6588
Passei das Águas Shopping,6296
Bourbon Shopping SP,5216
Shopping União de Osasco,5202
Shopping Recife,5175
Shopping Ibirapuera,5099
Shopping Midway Mall,4413
Iguatemi Campinas,4307
Palladium Shopping Curitiba,4290
Rio Mar Shopping Fortaleza,4278
Novo Shopping Ribeirão Preto,3713
Shopping Center Leste Aricanduva,3582
Rio Mar Recife,3266
Shopping Vila Velha,3202
Norte Shopping,2946
Shopping Center Interlagos,2066
Shopping Barra,1628
Ribeirão Shopping,1584
Iguatemi Esplanada,986
Salvador Shopping,159
