ID Loja,Valor Final
Shopping Iguatemi Fortaleza,12665
Shopping Barra,9174
Parque Dom Pedro Shopping,8842
Shopping Center Interlagos,8794
Iguatemi Campinas,8593
Shopping União de Osasco,8196
Palladium Shopping Curitiba,7903
Shopping SP Market,7886
Passei das Águas Shopping,7288
Center Shopping Uberlândia,6599
Rio Mar Shopping Fortaleza,5971
Shopping Vila Velha,5852
Norte Shopping,5390
Shopping Midway Mall,4557
Shopping Eldorado,4437
Rio Mar Recife,4394
Novo Shopping Ribeirão Preto,4151
Shopping Morumbi,3568
Iguatemi Esplanada,2980
Ribeirão Shopping,2696
Bourbon Shopping SP,2592
Shopping Recife,1852
Shopping Ibirapuera,1642
Salvador Shopping,1543
Shopping Center Leste Aricanduva,956
