ID Loja,Valor Final
Norte Shopping,10259
Shopping Barra,9768
Rio Mar Shopping Fortaleza,7247
Bourbon Shopping SP,6459
Shopping Midway Mall,6218
Shopping Center Interlagos,6144
Center Shopping Uberlândia,6130
Shopping Eldorado,5974
Palladium Shopping Curitiba,5750
Shopping SP Market,5618
Shopping União de Osasco,5464
Shopping Iguatemi Fortaleza,5067
Shopping Recife,4986
Iguatemi Esplanada,4707
Passei das Águas Shopping,4456
Shopping Morumbi,4059
Shopping Vila Velha,3778
Parque Dom Pedro Shopping,3303
Ribeirão Shopping,2719
Salvador Shopping,2216
Iguatemi Campinas,2132
Shopping Ibirapuera,1433
Novo Shopping Ribeirão Preto,1382
Rio Mar Recife,1120
Shopping Center Leste Aricanduva,898
