ID Loja,Valor Final
Shopping Barra,11203
Shopping Center Interlagos,10775
Shopping SP Market,10524
Palladium Shopping Curitiba,7743
Shopping União de Osasco,7318
Parque Dom Pedro Shopping,6731
Passei das Águas Shopping,6354
Shopping Ibirapuera,6202
Shopping Midway Mall,6018
Iguatemi Campinas,5414
Novo Shopping Ribeirão Preto,4897
Rio Mar Recife,4813
Shopping Morumbi,4298
Center Shopping Uberlândia,3804
Ribeirão Shopping,3700
Shopping Iguatemi Fortaleza,3685
Shopping Vila Velha,3121
Shopping Eldorado,2977
Rio Mar Shopping Fortaleza,2171
Salvador Shopping,1806
Shopping Center Leste Aricanduva,1710
Bourbon Shopping SP,1264
Norte Shopping,973
Shopping Recife,719
Iguatemi Esplanada,494
