ID Loja,Valor Final
Shopping Center Interlagos,10515
Shopping Center Leste Aricanduva,10001
Shopping União de Osasco,9621
Shopping Ibirapuera,8457
Shopping Recife,8407
Palladium Shopping Curitiba,6209
Iguatemi Campinas,6207
Rio Mar Recife,5924
Norte Shopping,5766
Shopping SP Market,5457
Shopping Midway Mall,5307
Passei das Águas Shopping,5195
Bourbon Shopping SP,4855
Shopping Vila Velha,4006
Center Shopping Uberlândia,3878
Salvador Shopping,3488
Shopping Morumbi,3348
Parque Dom Pedro Shopping,3015
Novo Shopping Ribeirão Preto,2806
Rio Mar Shopping Fortaleza,2349
Shopping Eldorado,2181
Shopping Iguatemi Fortaleza,2002
Iguatemi Esplanada,1604
Ribeirão Shopping,1183
Shopping Barra,630
