ID Loja,Valor Final
Shopping União de Osasco,9146
Iguatemi Esplanada,8293
Palladium Shopping Curitiba,7737
Shopping Iguatemi Fortaleza,7273
Rio Mar Shopping Fortaleza,6711
Rio Mar Recife,6374
Iguatemi Campinas,5580
Center Shopping Uberlândia,5159
Bourbon Shopping SP,5066
Shopping Barra,4951
Shopping Vila Velha,4713
Shopping Center Interlagos,4583
Shopping Morumbi,4570
Ribeirão Shopping,4457
Novo Shopping Ribeirão Preto,4228
Salvador Shopping,4136
Shopping Center Leste Aricanduva,3983
Passei das Águas Shopping,3958
Shopping Recife,3679
Shopping Midway Mall,3655
Shopping Eldorado,3474
Shopping SP Market,3003
Parque Dom Pedro Shopping,2169
Shopping Ibirapuera,1869
Norte Shopping,1709
