ID Loja,Valor Final
Shopping SP Market,10914
Shopping Vila Velha,7654
Parque Dom Pedro Shopping,7500
Ribeirão Shopping,7329
Shopping Center Interlagos,7121
Shopping Recife,7117
Norte Shopping,6185
Bourbon Shopping SP,5917
Novo Shopping Ribeirão Preto,5755
Center Shopping Uberlândia,5386
Passei das Águas Shopping,5102
Shopping Ibirapuera,4817
Shopping Morumbi,4675
Shopping Eldorado,4561
Rio Mar Recife,4315
Iguatemi Esplanada,3489
Shopping Iguatemi Fortaleza,3382
Shopping União de Osasco,3145
Shopping Center Leste Aricanduva,3131
Iguatemi Campinas,2604
Salvador Shopping,2158
Shopping Barra,1820
Rio Mar Shopping Fortaleza,1758
Shopping Midway Mall,1653
Palladium Shopping Curitiba,1564
