ID Loja,Valor Final
Shopping União de Osasco,9694
Parque Dom Pedro Shopping,9621
Novo Shopping Ribeirão Preto,8023
Palladium Shopping Curitiba,6489
Bourbon Shopping SP,5676
Center Shopping Uberlândia,5401
Shopping Midway Mall,5356
Shopping Iguatemi Fortaleza,5090
Salvador Shopping,5045
Shopping Vila Velha,5043
Ribeirão Shopping,4916
Shopping Recife,4561
Shopping SP Market,4292
Rio Mar Shopping Fortaleza,4216
Rio Mar Recife,4053
Shopping Eldorado,3851
Shopping Center Interlagos,3765
Iguatemi Esplanada,3108
Shopping Barra,3104
Iguatemi Campinas,2805
Passei das Águas Shopping,2629
Shopping Ibirapuera,1630
Norte Shopping,1326
Shopping Center Leste Aricanduva,1131
Shopping Morumbi,1007
