ID Loja,Valor Final
Bourbon Shopping SP,11613
Shopping União de Osasco,7354
Iguatemi Campinas,6527
Shopping Ibirapuera,5722
Shopping Midway Mall,5583
Shopping Eldorado,5568
Shopping Center Interlagos,5038
Shopping SP Market,4924
Shopping Center Leste Aricanduva,4898
Rio Mar Shopping Fortaleza,4890
Rio Mar Recife,4862
Center Shopping Uberlândia,4663
Ribeirão Shopping,4623
Shopping Iguatemi Fortaleza,4491
Palladium Shopping Curitiba,4242
Shopping Recife,4148
Shopping Vila Velha,3962
Iguatemi Esplanada,3453
Parque Dom Pedro Shopping,3110
Shopping Morumbi,2784
Salvador Shopping,2524
Shopping Barra,2344
Passei das Águas Shopping,2205
Norte Shopping,2160
Novo Shopping Ribeirão Preto,1877
