ID Loja,Valor Final
Ribeirão Shopping,7957
Iguatemi Campinas,7077
Passei das Águas Shopping,6184
Iguatemi Esplanada,6074
Shopping União de Osasco,5848
Shopping Morumbi,5540
Parque Dom Pedro Shopping,5534
Shopping Iguatemi Fortaleza,5274
Shopping Ibirapuera,5118
Novo Shopping Ribeirão Preto,4987
Shopping Center Interlagos,4727
Rio Mar Recife,4692
Shopping Vila Velha,4537
Bourbon Shopping SP,4376
Palladium Shopping Curitiba,4259
Rio Mar Shopping Fortaleza,3945
Shopping Barra,3770
Shopping Eldorado,3767
Center Shopping Uberlândia,3735
Salvador Shopping,3369
Shopping Center Leste Aricanduva,3267
Shopping SP Market,3153
Norte Shopping,2598
Shopping Recife,2196
Shopping Midway Mall,1827
