ID Loja,Valor Final
Bourbon Shopping SP,8502
Shopping Barra,7865
Rio Mar Shopping Fortaleza,6274
Passei das Águas Shopping,6109
Ribeirão Shopping,5690
Shopping Recife,5688
Shopping Eldorado,5553
Salvador Shopping,5256
Novo Shopping Ribeirão Preto,5206
Iguatemi Esplanada,4918
Shopping Morumbi,4889
Shopping Ibirapuera,4811
Center Shopping Uberlândia,4368
Iguatemi Campinas,4067
Norte Shopping,4045
Shopping Center Leste Aricanduva,3796
Rio Mar Recife,3598
Palladium Shopping Curitiba,2943
Shopping Midway Mall,2768
Shopping Vila Velha,2451
Shopping União de Osasco,2134
Parque Dom Pedro Shopping,1983
Shopping SP Market,1623
Shopping Center Interlagos,1339
Shopping Iguatemi Fortaleza,369
