ID Loja,Valor Final
Shopping Barra,9840
Passei das Águas Shopping,9292
Rio Mar Recife,9229
Ribeirão Shopping,8637
Shopping Morumbi,7858
Parque Dom Pedro Shopping,7117
Shopping Eldorado,6524
Rio Mar Shopping Fortaleza,5549
Shopping Ibirapuera,5045
Shopping União de Osasco,4999
Bourbon Shopping SP,4381
Shopping Iguatemi Fortaleza,3823
Novo Shopping Ribeirão Preto,3668
Palladium Shopping Curitiba,3660
Iguatemi Campinas,3577
Center Shopping Uberlândia,3271
Shopping SP Market,2823
Shopping Vila Velha,2468
Shopping Center Leste Aricanduva,2255
Norte Shopping,2189
Salvador Shopping,2046
Iguatemi Esplanada,1836
Shopping Recife,1761
Shopping Midway Mall,1169
Shopping Center Interlagos,919
