ID Loja,Valor Final
Iguatemi Esplanada,10738
Shopping Barra,8368
Parque Dom Pedro Shopping,7490
Center Shopping Uberlândia,6565
Shopping Center Leste Aricanduva,6523
Iguatemi Campinas,6461
Rio Mar Recife,5259
Shopping Center Interlagos,5144
Shopping Eldorado,4806
Norte Shopping,4647
Passei das Águas Shopping,4352
Shopping Ibirapuera,4286
Salvador Shopping,4184
Shopping União de Osasco,3768
Bourbon Shopping SP,3598
Ribeirão Shopping,3534
Shopping Recife,3214
Novo Shopping Ribeirão Preto,3212
Rio Mar Shopping Fortaleza,3078
Shopping SP Market,3014
Palladium Shopping Curitiba,2096
Shopping Morumbi,2057
Shopping Iguatemi Fortaleza,1947
Shopping Vila Velha,1798
Shopping Midway Mall,1433
