ID Loja,Valor Final
Ribeirão Shopping,11897
Iguatemi Esplanada,11503
Shopping Ibirapuera,7910
Shopping Morumbi,6385
Shopping Recife,6012
Center Shopping Uberlândia,5730
Rio Mar Shopping Fortaleza,5517
Shopping Iguatemi Fortaleza,5203
Shopping SP Market,4705
Shopping Midway Mall,4702
Palladium Shopping Curitiba,4665
Shopping Center Leste Aricanduva,4553
Bourbon Shopping SP,4525
Shopping Barra,4405
Parque Dom Pedro Shopping,4222
Rio Mar Recife,4106
Shopping Center Interlagos,3936
Novo Shopping Ribeirão Preto,3188
Shopping Eldorado,3172
Iguatemi Campinas,2848
Salvador Shopping,2668
Shopping Vila Velha,2313
Passei das Águas Shopping,2236
Shopping União de Osasco,2165
Norte Shopping,1243
