ID Loja,Valor Final
Shopping Iguatemi Fortaleza,12744
Shopping Vila Velha,8245
Shopping Center Interlagos,6759
Salvador Shopping,5398
Iguatemi Esplanada,5347
Bourbon Shopping SP,5343
Shopping Ibirapuera,5320
Shopping Center Leste Aricanduva,5216
Parque Dom Pedro Shopping,5090
Palladium Shopping Curitiba,4791
Ribeirão Shopping,4759
Norte Shopping,4701
Rio Mar Recife,4677
Shopping Recife,4629
Shopping Barra,4517
Rio Mar Shopping Fortaleza,4487
Shopping Midway Mall,4477
Shopping União de Osasco,4129
Shopping Eldorado,4126
Iguatemi Campinas,3196
Shopping SP Market,2720
Shopping Morumbi,2363
Center Shopping Uberlândia,1639
Passei das Águas Shopping,619
Novo Shopping Ribeirão Preto,403
