ID Loja,Valor Final
Shopping Morumbi,8027
Shopping Iguatemi Fortaleza,7899
Shopping SP Market,7063
Shopping Barra,6589
Iguatemi Esplanada,6042
Ribeirão Shopping,5809
Novo Shopping Ribeirão Preto,5210
Rio Mar Recife,5089
Bourbon Shopping SP,4978
Shopping Center Leste Aricanduva,4874
Center Shopping Uberlândia,4707
Iguatemi Campinas,4216
Parque Dom Pedro Shopping,3966
Passei das Águas Shopping,3948
Shopping Vila Velha,3779
Salvador Shopping,3530
Rio Mar Shopping Fortaleza,3422
Shopping Recife,3200
Shopping União de Osasco,2811
Shopping Midway Mall,2708
Shopping Ibirapuera,2424
Shopping Eldorado,2132
Shopping Center Interlagos,2036
Norte Shopping,1061
Palladium Shopping Curitiba,847
