ID Loja,Valor Final
Palladium Shopping Curitiba,9971
Shopping Center Interlagos,7726
Parque Dom Pedro Shopping,7301
Passei das Águas Shopping,6177
Shopping União de Osasco,6132
Shopping Recife,5819
Iguatemi Campinas,5537
Shopping Barra,5336
Ribeirão Shopping,4684
Center Shopping Uberlândia,4622
Shopping SP Market,4302
Shopping Iguatemi Fortaleza,4107
Shopping Ibirapuera,4058
Rio Mar Shopping Fortaleza,4020
Shopping Vila Velha,3920
Norte Shopping,3714
Shopping Morumbi,3605
Shopping Eldorado,3264
Novo Shopping Ribeirão Preto,3177
Shopping Midway Mall,3171
Shopping Center Leste Aricanduva,2322
Bourbon Shopping SP,2305
Iguatemi Esplanada,2013
Rio Mar Recife,1796
Salvador Shopping,1724
