ID Loja,Valor Final
Shopping Vila Velha,8536
Shopping Eldorado,8485
Shopping Center Leste Aricanduva,7652
Shopping Center Interlagos,7450
Parque Dom Pedro Shopping,7050
Shopping SP Market,6380
Shopping Morumbi,5579
Ribeirão Shopping,5570
Salvador Shopping,5282
Shopping Barra,5139
Center Shopping Uberlândia,5081
Iguatemi Esplanada,4990
Iguatemi Campinas,4450
Novo Shopping Ribeirão Preto,3858
Palladium Shopping Curitiba,3762
Shopping Iguatemi Fortaleza,3684
Bourbon Shopping SP,3275
Norte Shopping,3080
Passei das Águas Shopping,2946
Rio Mar Shopping Fortaleza,2237
Shopping Ibirapuera,2069
Shopping Midway Mall,1946
Shopping União de Osasco,1692
Rio Mar Recife,1636
Shopping Recife,1592
