ID Loja,Valor Final
Rio Mar Recife,10310
Shopping Center Leste Aricanduva,8344
Rio Mar Shopping Fortaleza,8342
Palladium Shopping Curitiba,7192
Shopping Iguatemi Fortaleza,6214
Shopping União de Osasco,6198
Parque Dom Pedro Shopping,5971
Iguatemi Esplanada,5230
Shopping Center Interlagos,5198
Shopping Eldorado,5097
Novo Shopping Ribeirão Preto,4498
Center Shopping Uberlândia,4007
Passei das Águas Shopping,3847
Salvador Shopping,3620
Shopping Morumbi,3500
Shopping Midway Mall,3426
Shopping Ibirapuera,3034
Shopping Barra,2975
Shopping Vila Velha,2928
Ribeirão Shopping,2825
Bourbon Shopping SP,2782
Shopping SP Market,2567
Norte Shopping,2548
Iguatemi Campinas,2133
Shopping Recife,1849
