ID Loja,Valor Final
Shopping Morumbi,13724
Bourbon Shopping SP,10253
Shopping Vila Velha,8896
Norte Shopping,8768
Palladium Shopping Curitiba,8266
Novo Shopping Ribeirão Preto,7085
Passei das Águas Shopping,6874
Ribeirão Shopping,6775
Salvador Shopping,6322
Shopping Recife,5347
Iguatemi Esplanada,5177
Shopping SP Market,4964
Shopping Barra,4736
Rio Mar Shopping Fortaleza,3273
Shopping Eldorado,3212
Shopping Midway Mall,3110
Shopping Ibirapuera,2548
Shopping União de Osasco,2422
Shopping Center Leste Aricanduva,1884
Shopping Center Interlagos,1393
Rio Mar Recife,1310
Iguatemi Campinas,939
Center Shopping Uberlândia,769
Parque Dom Pedro Shopping,255
