ID Loja,Valor Final
Shopping SP Market,10343
Shopping Barra,9246
Rio Mar Recife,7485
Bourbon Shopping SP,7288
Rio Mar Shopping Fortaleza,7217
Iguatemi Esplanada,6032
Shopping Recife,5968
Palladium Shopping Curitiba,5461
Ribeirão Shopping,5402
Shopping Ibirapuera,5378
Shopping Eldorado,5158
Shopping União de Osasco,5024
Shopping Iguatemi Fortaleza,4688
Norte Shopping,4577
Iguatemi Campinas,3903
Shopping Center Leste Aricanduva,3851
Shopping Vila Velha,3803
Passei das Águas Shopping,3258
Shopping Center Interlagos,3155
Parque Dom Pedro Shopping,3091
Salvador Shopping,2033
Shopping Morumbi,1623
Center Shopping Uberlândia,1332
Novo Shopping Ribeirão Preto,462
Shopping Midway Mall,149
