ID Loja,Valor Final
Shopping Barra,9021
Shopping União de Osasco,8717
Shopping Center Leste Aricanduva,8132
Rio Mar Shopping Fortaleza,8123
Parque Dom Pedro Shopping,6519
Shopping Eldorado,5793
Shopping Center Interlagos,5784
Iguatemi Campinas,5395
Shopping SP Market,5320
Passei das Águas Shopping,5113
Palladium Shopping Curitiba,4980
Ribeirão Shopping,4630
Iguatemi Esplanada,3393
Shopping Recife,3069
Rio Mar Recife,3067
Center Shopping Uberlândia,2992
Shopping Iguatemi Fortaleza,2960
Salvador Shopping,2913
Novo Shopping Ribeirão Preto,2818
Shopping Vila Velha,2582
Bourbon Shopping SP,2171
Shopping Morumbi,2073
Shopping Ibirapuera,1141
Norte Shopping,448
Shopping Midway Mall,71
