ID Loja,Valor Final
Norte Shopping,11112
Bourbon Shopping SP,10798
Rio Mar Recife,10436
Shopping Barra,7949
Shopping União de Osasco,7619
Iguatemi Campinas,6376
Shopping Vila Velha,5925
Shopping Iguatemi Fortaleza,5883
Iguatemi Esplanada,5345
Shopping Morumbi,4668
Parque Dom Pedro Shopping,4572
Shopping Midway Mall,4399
Shopping Center Interlagos,4272
Shopping Eldorado,3865
Shopping SP Market,3604
Shopping Center Leste Aricanduva,3531
Salvador Shopping,3465
Center Shopping Uberlândia,3401
Rio Mar Shopping Fortaleza,3399
Ribeirão Shopping,3278
Passei das Águas Shopping,3075
Palladium Shopping Curitiba,2828
Novo Shopping Ribeirão Preto,2826
Shopping Ibirapuera,1129
Shopping Recife,1048
