ID Loja,Valor Final
Shopping Midway Mall,8324
Passei das Águas Shopping,7517
Shopping Center Leste Aricanduva,7463
Ribeirão Shopping,7236
Parque Dom Pedro Shopping,7074
Rio Mar Recife,7073
Salvador Shopping,6785
Norte Shopping,6227
Shopping Barra,6170
Shopping Recife,5864
Rio Mar Shopping Fortaleza,5460
Shopping Morumbi,5151
Shopping Iguatemi Fortaleza,4497
Iguatemi Esplanada,4367
Novo Shopping Ribeirão Preto,4229
Shopping Eldorado,4094
Bourbon Shopping SP,3662
Iguatemi Campinas,3509
Shopping União de Osasco,3476
Shopping Ibirapuera,3026
Palladium Shopping Curitiba,2967
Shopping Vila Velha,2580
Shopping SP Market,2060
Center Shopping Uberlândia,1729
Shopping Center Interlagos,676
