ID Loja,Valor Final
Ribeirão Shopping,9842
Shopping Iguatemi Fortaleza,9578
Rio Mar Recife,9351
Shopping Midway Mall,9015
Norte Shopping,7297
Shopping Morumbi,5873
Parque Dom Pedro Shopping,5373
Shopping Center Interlagos,5237
Palladium Shopping Curitiba,4870
Rio Mar Shopping Fortaleza,4335
Novo Shopping Ribeirão Preto,3943
Passei das Águas Shopping,3819
Bourbon Shopping SP,3723
Shopping Eldorado,3273
Shopping Ibirapuera,3044
Shopping Vila Velha,3001
Iguatemi Campinas,2924
Shopping Center Leste Aricanduva,2572
Shopping SP Market,2373
Shopping União de Osasco,2120
Salvador Shopping,1783
Iguatemi Esplanada,1685
Shopping Recife,1154
Center Shopping Uberlândia,858
Shopping Barra,838
